card_no,bird_name,search_key,audio_file,audio_path,clip_index,clip_type,is_main,source_id,file_size_bytes
63,Baltimore Oriole,baltimoreoriole,63_Baltimore_Oriole_93753_3_song.m4a,src/AudioClip/63_Baltimore_Oriole_93753_3_song.m4a,3,song,false,93753,12331
63,Baltimore Oriole,baltimoreoriole,63_Baltimore_Oriole_93753_4_song_main.m4a,src/AudioClip/63_Baltimore_Oriole_93753_4_song_main.m4a,4,song,true,93753,24776
64,Red Crossbill,redcrossbill,64_Red_Crossbill_34743_1_call.m4a,src/AudioClip/64_Red_Crossbill_34743_1_call.m4a,1,call,false,34743,9727
64,Red Crossbill,redcrossbill,64_Red_Crossbill_34743_2_song.m4a,src/AudioClip/64_Red_Crossbill_34743_2_song.m4a,2,song,false,34743,13938
64,Red Crossbill,redcrossbill,64_Red_Crossbill_34743_3_call.m4a,src/AudioClip/64_Red_Crossbill_34743_3_call.m4a,3,call,false,34743,15113
64,Red Crossbill,redcrossbill,64_Red_Crossbill_34743_3_song_main.m4a,src/AudioClip/64_Red_Crossbill_34743_3_song_main.m4a,3,song,true,34743,44700
65,Lazuli Bunting,lazulibunting,65_Lazuli_Bunting_87911_1_song.m4a,src/AudioClip/65_Lazuli_Bunting_87911_1_song.m4a,1,song,false,87911,3998
65,Lazuli Bunting,lazulibunting,65_Lazuli_Bunting_87911_2_song.m4a,src/AudioClip/65_Lazuli_Bunting_87911_2_song.m4a,2,song,false,87911,3031
65,Lazuli Bunting,lazulibunting,65_Lazuli_Bunting_87911_3_call.m4a,src/AudioClip/65_Lazuli_Bunting_87911_3_call.m4a,3,call,false,87911,8999
65,Lazuli Bunting,lazulibunting,65_Lazuli_Bunting_87911_4_song_main.m4a,src/AudioClip/65_Lazuli_Bunting_87911_4_song_main.m4a,4,song,true,87911,34698
66,American Crow,americancrow,66_American_Crow_13120_1_call.m4a,src/AudioClip/66_American_Crow_13120_1_call.m4a,1,call,false,13120,7506
66,American Crow,americancrow,66_American_Crow_13120_2_call.m4a,src/AudioClip/66_American_Crow_13120_2_call.m4a,2,call,false,13120,5988
66,American Crow,americancrow,66_American_Crow_13120_3_call.m4a,src/AudioClip/66_American_Crow_13120_3_call.m4a,3,call,false,13120,6579
66,American Crow,americancrow,66_American_Crow_13120_4_call_main.m4a,src/AudioClip/66_American_Crow_13120_4_call_main.m4a,4,call,true,13120,43102
67,Fish Crow,fishcrow,67_Fish_Crow_534750_1_call.m4a,src/AudioClip/67_Fish_Crow_534750_1_call.m4a,1,call,false,534750,3898
67,Fish Crow,fishcrow,67_Fish_Crow_534750_2_call.m4a,src/AudioClip/67_Fish_Crow_534750_2_call.m4a,2,call,false,534750,3610
67,Fish Crow,fishcrow,67_Fish_Crow_534750_3_call.m4a,src/AudioClip/67_Fish_Crow_534750_3_call.m4a,3,call,false,534750,3996
67,Fish Crow,fishcrow,67_Fish_Crow_534750_4_call_main.m4a,src/AudioClip/67_Fish_Crow_534750_4_call_main.m4a,4,call,true,534750,15123
68,Black Crowned Night Heron,blackcrownednightheron,68_Black_Crowned_Night_Heron_210557_1_call.m4a,src/AudioClip/68_Black_Crowned_Night_Heron_210557_1_call.m4a,1,call,false,210557,5230
68,Black Crowned Night Heron,blackcrownednightheron,68_Black_Crowned_Night_Heron_210557_2_call.m4a,src/AudioClip/68_Black_Crowned_Night_Heron_210557_2_call.m4a,2,call,false,210557,4405
68,Black Crowned Night Heron,blackcrownednightheron,68_Black_Crowned_Night_Heron_210557_3_call.m4a,src/AudioClip/68_Black_Crowned_Night_Heron_210557_3_call.m4a,3,call,false,210557,5643
68,Black Crowned Night Heron,blackcrownednightheron,68_Black_Crowned_Night_Heron_210557_4_call_main.m4a,src/AudioClip/68_Black_Crowned_Night_Heron_210557_4_call_main.m4a,4,call,true,210557,22604
69,Chihuahuan Raven,chihuahuanraven,69_Chihuahuan_Raven_57680_1_call.m4a,src/AudioClip/69_Chihuahuan_Raven_57680_1_call.m4a,1,call,false,57680,5719
69,Chihuahuan Raven,chihuahuanraven,69_Chihuahuan_Raven_57680_2_call.m4a,src/AudioClip/69_Chihuahuan_Raven_57680_2_call.m4a,2,call,false,57680,4503
69,Chihuahuan Raven,chihuahuanraven,69_Chihuahuan_Raven_57680_3_call.m4a,src/AudioClip/69_Chihuahuan_Raven_57680_3_call.m4a,3,call,false,57680,4994
69,Chihuahuan Raven,chihuahuanraven,69_Chihuahuan_Raven_57680_4_call_main.m4a,src/AudioClip/69_Chihuahuan_Raven_57680_4_call_main.m4a,4,call,true,57680,42229
6,American Woodcock,americanwoodcock,6_American_Woodcock_94211_1_call.m4a,src/AudioClip/6_American_Woodcock_94211_1_call.m4a,1,call,false,94211,8252
6,American Woodcock,americanwoodcock,6_American_Woodcock_94211_2_call.m4a,src/AudioClip/6_American_Woodcock_94211_2_call.m4a,2,call,false,94211,5955
6,American Woodcock,americanwoodcock,6_American_Woodcock_94211_3_call.m4a,src/AudioClip/6_American_Woodcock_94211_3_call.m4a,3,call,false,94211,8081
6,American Woodcock,americanwoodcock,6_American_Woodcock_94211_4_call_main.m4a,src/AudioClip/6_American_Woodcock_94211_4_call_main.m4a,4,call,true,94211,35236
70,Common Raven,commonraven,70_Common_Raven_132203_1_call.m4a,src/AudioClip/70_Common_Raven_132203_1_call.m4a,1,call,false,132203,5849
70,Common Raven,commonraven,70_Common_Raven_132203_2_call.m4a,src/AudioClip/70_Common_Raven_132203_2_call.m4a,2,call,false,132203,6505
70,Common Raven,commonraven,70_Common_Raven_132203_3_call.m4a,src/AudioClip/70_Common_Raven_132203_3_call.m4a,3,call,false,132203,4170
70,Common Raven,commonraven,70_Common_Raven_132203_4_call_main.m4a,src/AudioClip/70_Common_Raven_132203_4_call_main.m4a,4,call,true,132203,54093
